family_rank,content_hash,copies,repeated_instances,repositories,minimum_size_bytes,maximum_size_bytes,representative_repo,representative_path
857,08103de3f9f14b75de670d0a0eebb568acbd5818aff2c58ab44a62d3166d7d5b,4,3,1,20,20,guilhermenovais/e-mobiliaria,src/test/java/com/guilherme/emobiliaria/config/domain/service/CLAUDE.md
858,0b9f6f6d28f9c6a4fbdd3febfdbb229073249c2de33507091376507f96dcbb36,4,3,1,48,48,mind-protocol/serenissima,san-marco_consciousness-architecture/cistern-house_citizen-memory-cascade/sala-della-cattura/.cascade/experiences/CLAUDE.md
859,3167d1c12ddb8d000b89b14c3ea66f8fcf438346803bd7fe8deda670997a77a3,4,3,1,25,25,guilhermenovais/e-mobiliaria,src/main/java/com/guilherme/emobiliaria/contract/domain/service/CLAUDE.md
860,351b75da34e75a3efa03eb495c312cf67a98cea3773a1e8414a489b90566e2f1,4,3,1,628,628,JSKIM-90/WEB_BUILDER_TOOLKIT,RNBT_architecture/DesignComponentSystem/Components/3D_Components/cage01/CLAUDE.md
861,39ef19ad7df622a4ef28987a468dfb70fde7cc1673e82dfeb6ef27ca482c646e,4,3,1,48,48,mind-protocol/serenissima,san-marco_consciousness-architecture/cistern-house_citizen-memory-cascade/sala-della-cattura/.cascade/engineering/CLAUDE.md
862,3d71f8d8c9498e8d802c915d68f7c00a1a2c6ef64c76dae309d442dc92603bac,4,3,1,102,102,archon-research/stl,docs/runbooks/CLAUDE.md
863,591b947a3ed0216cc447877cdd2edbb3452b2ec8bcbc19d8195190f2ba2c010e,4,3,1,49,49,masakiaota/kyoupuro,contests/_template_heuristic/CLAUDE.md
864,5c1691b272768c2a2baeb0ff1a3a5ccf499f2d449b227cc4a5a17e8f24e4a2e4,4,3,1,17,17,lanewinfield/yank,firmware/CLAUDE.md
865,6e2b190e14bef3974591f6170cd223d27e570152df19f6c257065bb95ecac4d7,4,3,1,63,63,ndkramer/cc-training,ship-accenture-workshop/accenture-180-min-workshop-2026-05-13/order-service-exercise 2/.reset-snapshots/CLAUDE.md
866,74b3321397856f0b46362433b545d30a2e20d380b7092b238edd957f55658ea4,4,3,1,313,313,modbender/skill-library-mcp,data/brainz-calendar/CLAUDE.md
867,7ec134e9fa3cea2f2e0f5479bb85c9741b99a82289121fe0d70fe2e6e60eb2e7,4,3,1,138,138,muzaby/orca-skin,CLAUDE.md
868,8b543be13ab97831055e4afbb1a059cc84accdcec7e76551aedeff31d90723a1,4,3,1,72339,72339,dlmastery/autoresearch,autoresearchindexstock/autoresearch_results/winners/mamba_exp178_mambats_e2_d32_seed42/code/CLAUDE.md
869,8dd5d9d6e1b80738f2f3ea9c0c41689838890ea479a5f9d1d73d258843b5bd53,4,3,1,60,60,LilyDesignSystem/lily-design-system,components/grail-layout-bottom-footer/CLAUDE.md
870,9939fd8d3df58443dd7f68cd2d6e67e1d6871dce0d8110f99ff6941531492b95,4,3,1,71678,71678,b-macker/NAAb,tests/gorilla/naab-27_b/CLAUDE.md
871,a84e1fe81a2a0632f12add55e1230a315ac1b71d6ff8f8ef212ae532b0fd0a34,4,3,1,319,319,LucaGerlich/magicline-skill,CLAUDE.md
872,a9c01d3fef7cc993f8933d7d97311e0721d3822c778749842d28296374f82a53,4,3,1,41,41,AnerGcorp/vibelearn,src/CLAUDE.md
873,ab1ae2b866c187ba6d353f346c4c57f9ce0f206c9ad1de418aac34e5c099ec5d,4,3,1,44,44,trakt/trakt-web,projects/client/src/lib/components/CLAUDE.md
874,b94b9d647ac6b479c70b5cce48a7f2c5cca5e43701b51fbe20b81e59abfa8b0e,4,3,1,232,232,pylonsync/pylon,packages/create-pylon/templates/ai-studio/CLAUDE.md
875,bf9157bc1c235e06b878a124d1595e7d9f24695122387df1903ec3f459adc1ce,4,3,1,45,45,mind-protocol/serenissima,san-marco_consciousness-architecture/cistern-house_citizen-memory-cascade/sala-della-cattura/.cascade/insights/CLAUDE.md
876,cbf22df68db94ed24b392b7deb635505f91a1d6f495b523287f2ace7169df804,4,3,1,60,60,LilyDesignSystem/lily-design-system,components/kanban-table-row/CLAUDE.md
877,cc6fb862cc3f31c479aed6e186997f1306dd46ecaa718d9109b0fef7bfa42c1d,4,3,1,70353,70353,b-macker/NAAb,tests/gorilla/naab-26/CLAUDE.md
878,d3bc6d8642c28d7f59d877e3674e1061371c4bd0562e7cacd520c2fa41b851c0,4,3,1,15,15,shibuiwilliam/archfit,packs/core/fixtures/P2.SPC.004-negative/input/CLAUDE.md
879,d710cc3cb3971acd6d7c6fff1df4029c0827c3ff93ae20046108ed0f51939778,4,3,1,181,181,aozaki-kuro/commission-index,apps/admin-worker/scripts/CLAUDE.md
880,dda01539b3e92ae0c8b0fa10a1c336c430aae73c5e83709030bc64c0b559a868,4,3,1,44,44,TMHSDigital/Developer-Tools-Directory,tests/fixtures/drift_check/repo_missing_required_refs/CLAUDE.md
881,e32510fe95355db2b3247e06f483e1e70bfc81658e64f657a063b315abe720ba,4,3,1,317,317,777genius/universal-plugins-for-ai-agents,plugins/cloudflare/CLAUDE.md
882,e786ba4a09151af73761d427a8e4cf8f950425694f6e7dc58d3d6caaed895ba4,4,3,1,17,17,OpenKeyring/oak-keyring,CLAUDE.md
883,f058a61e2226b83f6768350e0d11ab80d451a19d47dde34205769ec16a47d673,4,3,1,204,204,andflett/designtools,demos/next-react-tailwind/CLAUDE.md
884,fb040e15b5407c046e41684eb94701b48b121043496ccdad4b201993a3499d35,4,3,1,3661,3661,ai-powered-dotnet-school/cohort-january-5-2026,checkpoints/01-week-end/CLAUDE.md
885,0021c0cebd71660b331a4740bb0688549ebf53a4027fdac9da21e2d9960e900e,3,2,3,1676,1676,atslooma/TasksToGoSolution,CLAUDE.md
886,00afe6a05bc0109e459cc10927d1ca196641a70be27466dcf77607f9a11137cb,3,2,3,587,587,jiripospisil/drtl,pages/common/claude.md
887,01ceef5ecc53e792bed9b46b566d00f18bb64bcff310a8838d40004066860524,3,2,3,12011,12011,clawdsolana/OpenClawd,memory/honcho_jack/CLAUDE.md
888,02715cb8e2e4445167e01ce6e15e78b632ec55f59e4fd025e5c40f302886259a,3,2,3,3532,3532,actions-marketplace-validations/anthropics_claude-code-action,CLAUDE.md
889,02b90dedc0c5ac1bb74d4cb9870ee08cd9462fda1e6aca6cf4874507eca5306f,3,2,3,34,34,ConsciousML/prompt-engineering-hub,prompts/agents/prompt_generator/CLAUDE.md
890,0410e486155dc835de3fd7cc088c7bdab316cdf7a0ca8bcbef90cf8fd0ab77df,3,2,3,456,456,sterngold/anders-dotfiles,CLAUDE.md
891,0474fae77c65fecf1ee5f1eda923b1e74ff40b68056038d315eefb045b87e841,3,2,3,14987,14987,stharrold/bingo,.claude/skills/workflow-orchestrator/CLAUDE.md
892,0585a3d2020bb88737604c438feb0f123bbe75342f1b51a9a2746fdee5db46d8,3,2,3,2390,2390,agno-agi/agno,cookbook/05_agent_os/scheduler/CLAUDE.md
893,058dbe647b4f8843db4273730a1d569c9743033a0340fdd16230d21d6baa1321,3,2,3,54,54,L-X-T/ng-b357,CLAUDE.md
894,0634bf587017eaf5a39da77b8aaecb6814a76876ddfb0195eb49c75e6804a711,3,2,3,508,508,s-hiraoku/b2b-design-system,docs/kiro/steering-example/claude.md
895,065dedd06fe703da58a04f617f8cbd8e9c486516967fb8051f4512e2dfd6c78f,3,2,3,3277,3277,OSU-NLP-Group/Mind2Web-2,mind2web2/CLAUDE.md
896,072faa4aaea32f1a2948599baaee4284d861222b4e12acd44a56d4ee43d5a89d,3,2,3,19,19,JayeOrg/BrowserTaskRunner,CLAUDE.md
897,076d5d550f3e759341ec34f038552276ce50d906985b89c6a712a52b02091eb0,3,2,3,1622,1622,movtigroup/movtigroup,CLAUDE.md
898,0897058771c213f05c67ba68e974daf11bba2ab4d44f79451f39bc22489d7160,3,2,3,7875,7875,coleam00/ottomator-agents,claude-skill-archon/CLAUDE.md
899,09413fcbc5cc0ce05ac21a71cb63db8eefe206397412e461b825b5d2aff249d3,3,2,3,14909,14909,hojinzs/symphony-example-app,CLAUDE.md
900,0ae8abecb83bb492acbfcbd7726e5e7eb136b50e11ed4502c03dbaaac1c3c2c3,3,2,3,4497,4497,AshminDhungana/AI-Skillkit,miscellaneous-collection/ra-qm-team/CLAUDE.md
901,0b84d4ffb5ff6f314d35f7ea5106dda85f8ad319e5868422c671c6c8738f19a5,3,2,3,244,244,daanvr/the-refiner-game,CLAUDE.md
902,0ba8c443ebbbee96204bf5354fdc3e40009d2df9565613b6d5e9750eed6edb33,3,2,3,317,317,ai-shifu/ai-shifu,src/cook-web/src/components/CLAUDE.md
903,0bed62494cb62567d6feadf2b9d7faa32482ac409c1544c80b78dac4a9911a2b,3,2,3,363,363,fbeach73/boilerplate_v1,CLAUDE.md
904,0c5fad52d90f94e09eb1622ab6fcbcf2388b57a03c7826a0ca0c89a36271f72a,3,2,3,250,250,jgoodhcg/blog,CLAUDE.md
905,0c8fdabf5fdde4d12f84319fb0a881ddc51b8ef44edf6fb3d5cba70d5f64b69d,3,2,3,11231,11231,brpl20/prc_pdf,CLAUDE.md
906,0d162fd6858d5c618df5241211111133747a95efb824a0b1169ef5d8bd067264,3,2,3,171,171,wolfclostermann/kroak-time-ticker,CLAUDE.md
907,0e10e5cabc3c9f5e3c3cc6442b922bec8694b4b156683aa478e2964829c0cc10,3,2,3,188,188,cho2659/JanusRE,CLAUDE.md
908,0ff4ef727f7e72b457add2eac3ce2142674de4c7b33f293bf848c64603984497,3,2,3,338,338,LucasMatuszewski/AI-Programming-Course-JSystem-15-06-2026,CLAUDE.md
909,107c343825e5ba22e33a5e0bf5c97ae72e4ca9d60102378cb9ad180bfefa58cf,3,2,3,3887,3887,TheWayWithin/aimpactscanner-mvp,.claude/CLAUDE.md
910,11af96025619feac0ecbdc71dcc0ba71592efc8bfea5887873bc61f79bb6defe,3,2,3,374,374,audreyllc/cafe-spot-finder-audrey,CLAUDE.md
911,12084ffed9c5a9c09d3d4dfb9eb2f3d23068d89a27565dfcdd5a4fa0abb21a2a,3,2,3,294,294,awardsapp/tambo-genui,packages/client/CLAUDE.md
912,124922a4438e568e50b6e7d817ae4ae3f04d58de74ba831cbd626dabbce6f7ab,3,2,3,10141,10141,GetKlai/klai,klai-hubspot/klai-email-support/CLAUDE.md
913,146cec964be29c5bcb1c9e8ecb77a49dc02b8460516478fcd6ea56e8363d78eb,3,2,3,310,310,CruGlobal/cru-app-cloudrun-template,CLAUDE.md
914,14873d1804fbd95842dea8ac6b0c21774b5343a1f18700ba59bf9fd832585a9e,3,2,3,367,367,kamataryo/aws-billing-alert,CLAUDE.md
915,14d9aa425a4573645b4bd7279057905e8f769dc71973b36b65d5d789d5ce5f93,3,2,3,2243,2243,kevinylee/saigon-deli,CLAUDE.md
916,15a7bdcb8d8857afacac78295d4e30a863f1973c4ed20df9bb2a8b27cd73034f,3,2,3,180,180,gclm/skills-hub,neat-freak/evals/fixtures/eval-7-release-terminal/project/CLAUDE.md
917,16c6d1b039c371349f5dacf7de66513c4a404fb046b55e377c2a4484a211f30b,3,2,3,16,16,gkrost/unidrive,CLAUDE.md
918,174801c04598cac6f65853f713813d150db4ea1817e43f97ed705ce3aeb0ed33,3,2,3,3273,3273,Krishilgithub/Verbi,CLAUDE.md
919,19256173cedcbdd3138be579759d15a2b565104717118c79a236caba6540d803,3,2,3,47,47,mieubrisse/launchctl-automation-template,CLAUDE.md
920,192bf842e5b8c3d18023d5b9cd5601e7fb1cbfa05c9a76e9e0dd888e634fee92,3,2,3,442,442,dgibson/dtc,CLAUDE.md
921,1acb62b6cceea2311b609b08d93bb0f5f02231b96723cd1a01aba209ac697b15,3,2,3,603,603,DorianGallo/holaOS-local,desktop/CLAUDE.md
922,1bce5ecc0487fc2cbfb58ebf8744cfc7f483b2f738037c369685b773aff02492,3,2,3,3568,3568,WebWeaversOrg/hermesagent-taskspine,CLAUDE.md
923,1cac5be03ee6b3b2e7347bcb810114f04b4e9e1b76a76024d6229ae5a3f7b75a,3,2,3,11896,11896,Moxibyte/MoxPP,CLAUDE.md
924,1f2b7b864ea312fc1219f190c19d13f83c0498ce46359938197f00a9fd47479c,3,2,3,328,328,ai-dynamo/dynamo,tests/CLAUDE.md
925,20792c22f267f67b9774779aa03963d6869d97743444d3ee4bd0a0c7d1a23635,3,2,3,293,293,mckf111/depths-of-the-forgotten,CLAUDE.md
926,20d8859b06220b825f09001db44a72a0866b7859edb5db6171e492505d2f609a,3,2,3,3782,3782,jackzhaojin/anima-mesh,references/poc/claude/chat-cli/CLAUDE.md
927,2230277cdb2c5417a429355e3bbb76efcfbf505d3ae6b4f4241e7722043253e6,3,2,3,246,246,bob29947/ray-gpu-operator-fusion,src/ray/.claude/CLAUDE.md
928,2236a180c8a9ac490978a813e44bb8a283d2ebd77819aba7544cb96a4abfc579,3,2,3,250,250,AwaisAliShahid/Phosphor-Private,CLAUDE.md
929,228019e8a02ef8513e4adae8e3d120d669d0c7f26d3f7a3db435ec5f9a344636,3,2,3,35,35,levante-framework/levante-r,CLAUDE.md
930,229139a741de924c66009382cc74469a1a83abae7788426fa2b1de76292fcee8,3,2,3,1657,1657,aah-stack/CERTIFIED,05_ci_cd_integration/_manage/starter/CLAUDE.md
931,229a300e8c5eced2b68945ba6e70c7e8389e60deac08baa1e651f9c55ffc159e,3,2,3,53,53,alecf/photo-restore-mac,CLAUDE.md
932,24654a25dcde61d82f71568e9d8b7767920b8d5074360945976d6e0b8146a8b0,3,2,3,11477,11477,dwoodard/papertrail,CLAUDE.md
933,24b0d1d7d7a8f2d995b6b7979636eb2ce2bfff6f8eaaa0f609f126fca7415d8a,3,2,3,2505,2505,BusinessCentralApps/tmpbw2slw,src/Apps/W1/EDocument/App/src/Setup/docs/CLAUDE.md
934,258e71559ecd267cdca0f9751feb80e3249b79fd4b67e534247788cfdb4522c4,3,2,3,874,874,Azazel7Kuro/LearningLab,astro/CLAUDE.md
935,25bf1f05cdb32c6ec201b2cceac3c4259c7aafab10034f62ffbaaf627d66759d,3,2,3,47,47,chandima/rds-lp-factory,template/CLAUDE.md
936,2607ad7635175717bfbe2a6bde335efe7892127f2f7a0c00d10cee5a035b9e84,3,2,3,4471,4471,nawanunpcr-sys/legal-registry,open-notebook/open_notebook/graphs/CLAUDE.md
937,2726951c8dfa99433af5374a9d6feddcd65a49ebce3fcd9709cbaf95b5512fe9,3,2,3,10624,10624,Bishal10000/Exam-hub,CLAUDE.md
938,2727ccba7be22051539d7954dacd7b2ec786bb78aedaa15c5e081fe9de6dff74,3,2,3,17,17,snatalenko/di0,CLAUDE.md
939,276f650bd1b94f473cb40b36fdcbd4f945fe050198809f6ab8804e0e657ebc41,3,2,3,39,39,Tonton0606/Chatbot-Integration,docs/CLAUDE.md
940,2786d9800d0b9a6e69c903f762dd9a1bb9df88ffdcc5058cb141da770b17e069,3,2,3,446,446,gugacarbo/agents-skills,CLAUDE.md
941,2838036e7d0ad5a78743f62bf512a7a0201ec2d210b82e7aa816821883ad491d,3,2,3,6930,6930,Kiog-Aser/rybbit-fork,client/CLAUDE.md
942,2a28d113b45859782ebb1aad615552bd565bb5cb7ed33045a96987340029424b,3,2,3,1856,1856,anthropics/claude-cookbooks,managed_agents/slack/CLAUDE.md
943,2af8d68d12c8ea01f29717ca4c45ee1eed8643cf1353787e0a16bc52a8daa26e,3,2,3,15,15,1235467/nurpkgs,CLAUDE.md
944,2c432d29428cb33dfc941f5868e0b0f014b5eca46922d68e29578a7a7f8ac1eb,3,2,3,66,66,ApiLogicServer/ApiLogicServer-src,api_logic_server_cli/prototypes/manager/samples/basic_demo_logic_gov/CLAUDE.md
945,2d44bf525cd00a1f9ac37972a51ec36e79bacd6ce5fc6d98fcd02c85b655c0ba,3,2,3,1046,1046,nodetool-ai/nodetool-apple,CLAUDE.md
946,2e1972173d0608933ce837926fdd598b0789efe0b3373a3684eb74dc73dd65d8,3,2,3,2342,2342,elderalves/hookhub,memory/frontend/CLAUDE.md
947,2e28754e69aa417e5b6d89e99e42f05bfb6330800fa823753383db1d170fbc2f,3,2,3,14,14,BolunThompson/bolun.dev,CLAUDE.md
948,2e2ed976e882dba54e75ae2895aef0e17ece95d7f784d8d13c71b3908374d748,3,2,3,2131,2131,Nexlayer/nexlayer-n8n,packages/@n8n/instance-ai/CLAUDE.md
949,2e4d378a7b74ab279f6cbafea9224df0ad280a41b1dd2138fab2dea247ab9008,3,2,3,13648,13648,MajesteitBart/ClawLine,packages/happy-cli/src/daemon/CLAUDE.md
950,2e8082f7ce5ece11d6709794f63641be3ba1411aed0803b715cdb95fa1f429ba,3,2,3,139,139,chad/phoenix,CLAUDE.md
951,2eb47af003902bd4ac93fc7d7623d860c01defc9b8cb56f07b0929ba7f857d47,3,2,3,605,605,grishka/Smithereen,CLAUDE.md
952,2f48dda942c541a2a282a7cb20ba6e2a4bd7ac5b3826acfec9661507dad451e9,3,2,3,1227,1227,Alpaca-Network/terragon-oss,apps/docs/CLAUDE.md
953,2fbc54db6662d672515448c97b3a07dabb7f478abd6714bd76d20bb0dfb840ae,3,2,3,12419,12419,Boboegg/ai-resources,claude-skills/agents/CLAUDE.md
954,2fd8c1308b3ed93ecc9b1562520b1d60f8d4dae99bbf48e46e0206147dcab9f4,3,2,3,73,73,gs-rumana/rn-neo,CLAUDE.md
955,2fe4e399d5932a2a2802f79674d9d6b59664d08eb1a047dea70110a1da57b6b3,3,2,3,1728,1728,ai-integr8tor/alirezarezvani-claude-skills,templates/CLAUDE.md
956,3033f3ce3f0f661392583be41f2882ddd8f267225ac94f9e1f3195cedbf03012,3,2,3,2291,2291,GiantCroissant-Infra/giantcroissant-lunar-dev-rule,templates/stacks/dotnet/adapters/claude.md
957,3167a6684e648b5f27bc3bccbdc4d4636c129cd7ca6e0e5fbd4b9306ea8d7fc5,3,2,3,1430,1430,BentoMartins/webSocket-jogoDaVelha,CLAUDE.md
958,33359c9423681e44dd538249747c74245f98e2ee4b39a446387f5c966db119d2,3,2,3,246,246,Ammar8207/hack2-phase2,CLAUDE.md
959,33530ed74128f1345bc30d8e7b1f9a8b60e3c0b9beea8324dff015a01ac8db43,3,2,3,10222,10222,successbank/cnst,.claude/CLAUDE.md
960,33a8adf945efbbd37610f512c427fd5472ae9cf4ab346c1d5e7859e97e77df30,3,2,3,310,310,ai-shifu/ai-shifu,src/cook-web/src/api/CLAUDE.md
961,340de8086a343835b9708ca1b95ef5efd3848d80b1dc4a9d6b08455f54b568a5,3,2,3,1601,1601,laurafuentesaro/anubis,CLAUDE.md
962,3572d3d45784fd21eb1b971f79d854c04da549e9480fe215489aa5e424107f61,3,2,3,2308,2308,in0ho1no/2026-adhoc-KPT_SKILL,.claude/CLAUDE.md
963,367c797cc1036ecf898f378c1a743d911aaf27978d51e43fd83f85f5ed485712,3,2,3,117,117,hanshuwang1/FlClash-modify,CLAUDE.md
964,36915714b79fbb3a4fcd707787f9c79b60366294cd83386fb27557d8de0d121e,3,2,3,17,17,elentok/gx,CLAUDE.md
965,3726c8d39bccb56c019cd8c45a32ca1f4939f23d3bfd9ee441bb0593fc26d0b2,3,2,3,1818,1818,prashantkul/agents-assignment-2,.claude/CLAUDE.md
966,382bc54c0a96acdda8e19b0b62c2cc7dfa865a9e10699ab124d3fd85b89efc00,3,2,3,41,41,be-wise-be-kind/safeshell,CLAUDE.md
967,399922959105f8119a0325ac3763b2db1be8d689bfc4b858a448f7836f4729df,3,2,3,571,571,David-Li0406/meta-skill-evloving,skill-flow/data/skills-refined-36k/skillsmp/git-workflow-manager/scripts/CLAUDE.md
968,39a117efe3724507b1de6dfb8634220abc7f6209dcdbf64f4df03853588c23d0,3,2,3,2355,2355,pacesmarek/twa-ticketapp-2026,CLAUDE.md
969,3acbfb50d2d554e27a1c8111436a97a32348ec1f98acb79b5f2a6ad801a21cc0,3,2,3,11,11,Nisidhkr/paperTrading,CLAUDE.md
970,3c32e0fd6cdac58da7e3c33ff89477c81fe0ecd0f0a27fb499df307cbceb1b10,3,2,3,14276,14276,karvifi/foundation,repo_intake/extracted/BerriAI__litellm/CLAUDE.md
971,3d46480a7360ed34b54f804a9ebabe90849f3ca288b9262f1ae3bd662f5f0da5,3,2,3,44,44,sullis/archunit-playground,CLAUDE.md
972,3dbc156d7b4580886d67d9cb4a7e9c0bfd89628a34195f071f09d9d894662a99,3,2,3,165,165,goosewobbler/releasekit,CLAUDE.md
973,3e02b95edd30b042ac70c13558e16ab18a095434c4c6fe805ad8d3a39b2c94a6,3,2,3,93,93,AgoraIO-Conversational-AI/agent-samples,CLAUDE.md
974,3e30d43c3fe0016ac997cadf99b10d5e52e3f5f303195a4fbf5c58ba5dd8d2eb,3,2,3,57,57,stardust-initiative/climlab-stardust-extension,CLAUDE.md
975,3ec416ee1ee1e422db05d8409797c203bf5961ce830de93f0a465d20c39e7c5f,3,2,3,4300,4300,BusinessCentralApps/tmpbw2slw,src/Apps/W1/EDocument/App/src/Logging/docs/CLAUDE.md
976,3f9d6e95f36a17854a454f167858dbe2067f5ed4ef386056f09f2dc204f3b5fb,3,2,3,423,423,aminhtoan/Seminar,Udemy/Week3/day1/finally/CLAUDE.md
977,40387463a20f85ee199c5a7527d9b27f6e659bbc884a9c790acef4a33ca85f99,3,2,3,14,14,d-german/sequential-thinking-mcp-server,CLAUDE.md
978,40b72aafdd0cbc6a36ead441848ff7de3ad54db744d258aebf09fafa66d47793,3,2,3,1505,1505,mbarnes-code/expert-dollop,modules/ai/firecrawl/CLAUDE.md
979,41d7c525a848bb6efbe58d5f1699b9a8a6d10823e8c299e64bae95f7b659d301,3,2,3,3141,3141,Delay-n-days/my-tauri-app,src-tauri/CLAUDE.md
980,4280797d647879664f802a51beed4ec7a17219a5705ad87794d20cb0244f4012,3,2,3,2918,2918,fatidaprilian/aura-sqm,CLAUDE.md
981,43646082468863535522088478630a96050ccd81ebaf3e8535e38426d057e9c4,3,2,3,4840,4840,0mkara/masala-web,backend/CLAUDE.md
982,43ab3e333797b9136ac7bb5f17e29bb0b9092f8c9a810297b4951bfa385e9437,3,2,3,156,156,alfieprojectsdev/homebase,.claude/skills/prompt-engineer/papers/context/reframing/CLAUDE.md
983,43bde54c4644ce5440bd9df3f1e72ac82816f2a4494ac29629205766221b6f15,3,2,3,8011,8011,browserbase/stagehand,claude.md
984,440987b51fb088e2ffd22e19732c6af88208b2ca495a08923e5e16b373807e68,3,2,3,2089,2089,dilgerma/nebulit-code-generators,generators/emmet-supabase/app/templates/root/Claude.md
985,44cea8eb7ec95bc41a6f5bb6eafb3c4158b0c1a454990b0fac9f2c3b17a2f7b9,3,2,3,3888,3888,bytechefhq/bytechef,spring-ai/spring-ag-ui/CLAUDE.md
986,457a636d4360c41148212576c77b89dfa7992239881d3cdc1e1fdc1b5cbdda54,3,2,3,11870,11870,blacklanternsecurity/red-run,CLAUDE.md
987,46bf09894224e25ccbea950f7d96dde0205958547011d870fcf4e42f12cf0156,3,2,3,2372,2372,AndyHong-Productmanager/codex-ops-backup,snapshot/codex/plugins/cache/sisyphuslabs/omo/4.14.1/skills/coding-agent-sessions/references/claude.md
988,46e73f0074465902032d4d8d61bdd255ec47294a6aaeac4a8a4c996777884526,3,2,3,1156,1156,RemyLoveLogicAI/quantico-ai-agency,CLAUDE.md
989,4782e6dc5316483bf469726c94a577d0d07c7099a8aa889d4867873d975be2cd,3,2,3,1391,1391,ahsan3219/nl_web,CLAUDE.md
990,48178499c565ac61dbfd244a4fad8beb1f657dea96ceae7bb7781bbf85f02084,3,2,3,1201,1201,badb0ttle/portfolio,CLAUDE.md
991,48960fde7ce04037f6c9c2ed399979c35701c83f397c58edea00a98b898dd4b1,3,2,3,1284,1284,FaceNach/jobPage-withAI,examples/CLAUDE.md
992,48debcc343d01adc143d742c38b1325b1a1bb2e81e860e007b2018cc84f881c8,3,2,3,1172,1172,gabrielmoreira/agent-skills-mirror,mirrors/repos/matt1398@claude-devtools/src/shared/CLAUDE.md
993,490109e1251e14386b86d6b3fdb3a78509ec7bddb7f70b0fbee7b41d313698ae,3,2,3,13289,13289,iulspop/personal-app-template,CLAUDE.md
994,4a1d45af170c7f0dfe3ea440818e0ead951424f3af0b70b4492740595022ee27,3,2,3,56,56,ansible/ansible,CLAUDE.md
995,4c6416c25efb46e78ee13c1e259b6881d0053afdd7f10bb996c7ebc356c0186c,3,2,3,13,13,JosephusZhou/DogCuisine,CLAUDE.md
996,4c80ab56a5273538c7d8b577d3a7988c39f6dd18b0fcd0d11f24780f88273479,3,2,3,138,138,shigurenimo/swimmy,CLAUDE.md
997,4c913587b11abe63626d8b702e8a8225eaaacacb96068fcccce8bc2f719cdab5,3,2,3,67,67,rubenayla/piano-video-scribe,CLAUDE.md
998,4cd43c7d8f5b54eaa515cf953d72445495498d41f10a22b1f97ee4c4cabada50,3,2,3,41414,41414,bg-szy/TOP-SKILLS,skills/superskills/gstack/CLAUDE.md
999,4cec4cd3aa90161209eb287d3798608cbc1d855c67c6e2441578dbf938d639d5,3,2,3,41,41,apstndb/duckdb-spanner,CLAUDE.md
1000,4d89d8b063921e9bfb217e5b7ee807ab26cc5f5a2e4029d5196ccdcd5aac920a,3,2,3,631,631,kentakki416/money-management,apps/mobile/CLAUDE.md
1001,4d9d6fdb3798ab6407903754f844083346a644376036a21a7b6ad1b8374b3377,3,2,3,310,310,ai-shifu/ai-shifu,src/cook-web/src/app/CLAUDE.md
1002,4ef26c8c9d85e53ba7708d5742152b14893ff00a06ca2585d632036baca44cc5,3,2,3,1161,1161,victor-raphael17/workday-base,CLAUDE.md
1003,5055185f821b22585a685d117bdcca3b06e240e1a497a9cdeb229ba1ebca9207,3,2,3,395,395,glotaran/pygta-workspace-template,pygta-local-extras/CLAUDE.md
1004,507f8e6c8474c481542cbc51a6162156a8d5069839d2f958f4e921a7e5fa9dba,3,2,3,29,29,edgesentry/edgesentry-rs,CLAUDE.md
1005,5094d3a2c47e1fb35421b1d8a03a6ab245caf897486bd055ae60af74a6527732,3,2,3,2015,2015,DavidEdeni/web-development-tools,agent-skills/CLAUDE.md
1006,5166b551d3fa378893ae52a1bc6b3c18ceded686cfb797490fd5fc9f3385bd82,3,2,3,1629,1629,CountJung/react-tauri-video-editor,.agents/skills/react-flow/CLAUDE.md
1007,51bc02c100b2e5c17c8b60384cac31c40ad248a8b91851a3eb78148c0ec7cf24,3,2,3,35,35,lx-wnk/Agent-Context,templates/.claude/CLAUDE.md
1008,54109520e5a03dd7ed385cafc9ad3e0a2058c76261bfd565155a833e16ba11f0,3,2,3,149,149,ascii-supply-networks/dagster-slurm,CLAUDE.md
1009,54cfbb901bcd6018ca05e3f1e0e75f2eb6a23da9a964e55282e819868ab7a292,3,2,3,64,64,gwickman/snf-video-analysis,CLAUDE.md
1010,555844229a3d360be72655da53e9f6fcf13cc673ea4551695a12c8c6d01b6f61,3,2,3,17,17,Koukyosyumei/Arbiter,CLAUDE.md
1011,55693fa1bdbea46aafaae2c0c25e32676b91f46fa8828ae6ebca48118afeeb1c,3,2,3,2374,2374,mad-agentic/GameDev-Interview-,CLAUDE.md
1012,55c1415baf2442697f85a8cea27766bd89c61e28c59fddbcbe7f95a42733571c,3,2,3,550,550,pirl-unc/hitlist,CLAUDE.md
1013,5699f66233a0df3762828d36a95f11508add16c5ad2cbeff29fa698c173ad3a5,3,2,3,315,315,ai-shifu/ai-shifu,src/api/flaskr/service/profile/CLAUDE.md
1014,571a5343becce38015642164d168888363a9a105c85522cafeb80cdfa0dd925d,3,2,3,10506,10506,ArvindBharadwaj92/openalgo,CLAUDE.md
1015,5725a946e528cf6be2d34cca41d1f956c34d1c62bd9c09d40e0d003d2cde17ac,3,2,3,8,8,abdulrahman1s/steam-cleaner,claude.md
