audit_id;audit_stratum;content_hash;copies;representative_repo;representative_path;representative_url;paragraph_index;word_count;alphabetic_characters;dominant_script;fasttext_language;fasttext_confidence;fasttext_margin;lingua_language;lingua_confidence;lingua_margin;stable_after_normalization;automated_decision;accepted_language;paragraph_text;manual_language;manual_judgment;manual_notes
L011;accepted:pt;a55439dedd71854b77ca3bcbfeedbac8fbad57b8a59a0bc993c0f8fb16967b87;1;Caique-Rawos/MyBusiness-Sales-Manager;3.0/Api/CLAUDE.md;https://github.com/Caique-Rawos/MyBusiness-Sales-Manager/blob/7f35ebae4e3e48b830a546275ee1935b98d18bd0/3.0/Api/CLAUDE.md;101;21;126;Latin/other;pt;9,58334E+15;9,47382E+15;pt;10;10;VERDADERO;accepted;pt;Nomenclatura em português, espelhando o ubiquitous language do negócio (venda, produto, cliente, nota fiscal, etc.). Manter essa convenção em novos módulos.;pt;;
L012;accepted:pt;d32f60b6a23d6787edc68b7465a9627da1ab4c63e417d4e6d6cef12ecdab81f9;1;Luiza140528/InovaShot;CLAUDE.md;https://github.com/Luiza140528/InovaShot/blob/ff3776a0d586890740406932fd64d27a3a7f4d87/CLAUDE.md;2;31;163;Latin/other;pt;9,78758E+15;9,67624E+15;pt;10;10;VERDADERO;accepted;pt;"InovaShot (inovashot.com.br) é uma ferramenta de IA para cortar vídeos, voltada para criadores de conteúdo brasileiros. Posicionamento: ""InovaShot corta o vídeo, você decide o que vale a pena publicar.""";pt;;
L013;accepted:pt;4519ea3c0420dc431f4a9c248fefbd5e618f03a5b3f739b2e93f01472c6a02ec;1;Italovini223/CareWatch;CLAUDE.md;https://github.com/Italovini223/CareWatch/blob/5c098b5ecb73b763ca0e4b998117b172642e66d3/CLAUDE.md;2;37;230;Latin/other;pt;9,63051E+15;9,46423E+15;pt;10;10;VERDADERO;accepted;pt;App mobile de monitoramento de saúde para idosos. Exibe métricas de saúde (pressão arterial, frequência cardíaca, quedas) com histórico, alertas e autenticação de cuidadores. Estado atual: protótipo funcional com dados mockados — sem backend real, autenticação via AsyncStorage.;pt;;
L014;accepted:pt;4c4203bf380888f394d4045457c68c1b9bc45885d7fd810f18400cf867bb7a47;1;wanderhungerbuhler/whfdev;CLAUDE.md;https://github.com/wanderhungerbuhler/whfdev/blob/55013d68ac4edf603ee1ec7ce16edaf40ce2669b/CLAUDE.md;16;20;85;Latin/other;pt;9,86243E+15;9,79848E+15;pt;9,95534E+14;9,92803E+15;VERDADERO;accepted;pt;i18n : toda string visível ao usuário deve vir de via . Adicionar nova chave nos três arquivos ( ) ao mesmo tempo.;pt;;
L015;accepted:pt;dc4642509769b3ce806807bae8e25f86573afb28a645b7e811d36ccd3fbe7882;1;adersan/agenda-integra;CLAUDE.md;https://github.com/adersan/agenda-integra/blob/9000880ac7191fafab2d014eea8dc7d84540fa7d/CLAUDE.md;362;53;286;Latin/other;pt;9,8566E+15;9,80569E+15;pt;1E+16;1E+16;VERDADERO;accepted;pt;"Testar no navegador: criar um template, um gatilho, configurar um canal, disparar uma campanha de marketing manual; confirmar que agendar uma consulta com lembrete marcado e finalizar uma consulta disparam as mensagens de verdade (precisa dos outros serviços rodando e de gatilhos cadastrados — sem gatilho ativo pro tipo de evento, nada é enviado)";pt;;
L016;accepted:fr;2e5f35001f9f97c9266e5510104cd91f7bacc802a9ad054cad499b0f45daf599;1;michkaroma/HabitQuest;CLAUDE.md;https://github.com/michkaroma/HabitQuest/blob/67d3a2ad04c2d3235095b967169ce2dd01cd81d6/CLAUDE.md;82;50;273;Latin/other;fr;9,67436E+15;9,55788E+15;fr;10;10;VERDADERO;accepted;fr;"Annulation sommeil fenêtrée ( ) : — no-op idempotent si l'étape n'est pas ; (409) si dépasse ; sinon reprend exactement / via + (db.ts, symétrique de ), repasse l'étape ( ? NULL). (nouveau champ) : . Endpoints . Bouton « Annuler » ( xs) dans à côté du ?, visible seulement si ; toast neutre ( , tone ), pas de célébration (révocation silencieuse, ton non-punitif, même pattern que le Rituel).";fr;;
L017;accepted:fr;a5c36956a3912012020f4deb9b991aaa427c9b48de84845f3deb3ad34a2613fe;1;zendarc147/Mercato-Nova;CLAUDE.md;https://github.com/zendarc147/Mercato-Nova/blob/76f1842d93c2d53889ff774d6cb15560a0cc0b71/CLAUDE.md;47;30;147;Latin/other;fr;9,97845E+14;9,97365E+15;fr;10;10;VERDADERO;accepted;fr;Register et Login ne demandent pas de CSRF token — l'utilisateur n'a pas encore de session. > Après login, le retourné dans la réponse est à utiliser pour toutes les requêtes suivantes.;fr;;
L018;accepted:fr;30e92873438a1af3670ce6c13b2008635a2e8b2d61bd859ff5652dc98e9a34d2;1;Kovelt/carbon-fr;CLAUDE.md;https://github.com/Kovelt/carbon-fr/blob/d937ccec3b1a4325bbd933ede41211b200aba20e/CLAUDE.md;55;50;248;Latin/other;fr;9,71493E+14;9,66933E+15;fr;10;10;VERDADERO;accepted;fr;"ADR-0012 — modèle de prévision ML ( , GBDT tout-Rust + features météo) derrière le même port ; ne livre que s'il bat le au backtest. Accepté, engagé : store météo livré (port + Open-Meteo + table anti-fuite ) ; framework GBDT ( ) + sous-commande + livrés, mais mesuré : ne bat pas (RMSE ?15 vs 7,5, même avec météo) ? reste servi, gain ML = itération ouverte.";fr;;
L019;accepted:fr;000b7e9776f90dc7de7ef286baf167ffa0235139c3ab72942448a03d77b5a33a;1;SanjaiV2/ORAS-Studio;CLAUDE.md;https://github.com/SanjaiV2/ORAS-Studio/blob/930d42dc231288eae1b6b8aa699fab5100cc3661/CLAUDE.md;43;63;297;Latin/other;fr;9,42378E+15;9,20538E+14;fr;10;10;VERDADERO;accepted;fr;"Sélecteur : ptr[0] commence par (cellule du move, ?1 au repos) ; le moteur y écrit le Script ID du déclencheur, puis switch . Ciblage : (validé). Zone 7 (mapping CONFIRMÉ in-game ) : PNJ ? case 1 = fille « save » près de la Boutique (c233 ligne 0, LE PNJ de test ), 4 = employé (ligne 3), 6 = fille empreintes (0x407C?lignes ) ; tuiles ? 2 = panneau (ligne 9), 3 = cutscene Boutique intro, 5 = blocage route, 7 = séquence prof (MdlDel 3, flag 0x26B) ; défaut = no-op.";fr;;
L020;accepted:fr;88d4fa4385ff03241b7d536fa51714ffc1d5e8194895ce00701572d89554f709;1;michdu75-commits/forcetracker;CLAUDE.md;https://github.com/michdu75-commits/forcetracker/blob/2b13cd13e790de4c42efa9a8838b0027b4faf501/CLAUDE.md;665;21;88;Latin/other;fr;9,98045E+15;9,97351E+15;fr;9,79326E+14;9,75753E+15;VERDADERO;accepted;fr;?? Backend à déployer (depuis le PC de Michel) pour la persistance cloud du compteur — 1 ligne dans (Code.js, à côté de , 476);fr;;
L021;accepted:ko;4a6971741f772f95e953840624dcbfd3e3d14b7f5b5ad5df0efa4f4fb7a5ffd6;1;hasmin2/pfsense_webpage_n_captive-portal;CLAUDE.md;https://github.com/hasmin2/pfsense_webpage_n_captive-portal/blob/7a8fc8afa7a80da167fd9ab5ea2db3225e2d5ba6/CLAUDE.md;828;180;597;Hangul;ko;9,99721E+15;9,99647E+15;ko;10;10;VERDADERO;accepted;ko;"56 ??(??): Terminal Status ??? ?? ? ? ??? ? 6??? ?? ???, Info ??? ""usage / [???] GB"" ??? ??·??·APPLY ?? ?? / system gateways edit.php ?? ?? ? terminal.php ??? ? ??? ??(?? ??? ??) / ?? ? ?? ?? ??? ? ??? shutdown ?? ?? / Manual Override(Setting ??? ???) ??? ????? ??(??? ???? ?? ? ?? ??) / ?? : Allowance ???? ??? ???? Cutoff ????? ? ??? ???? 10? ???? ???? ??? ?? ???? ???(Info ?? usage ??· ??? ???? ???? ?????) / allowance ? ????? terminal type ? vsat sec(?: FX CREW)? ?????? usage ??? ?? ????? (Main Panel index.php ? ???? ?? ??? ???) / ? ??? ?? ??? (allowance ?? ???)? ?? ???? ?? ??? / APPLY ?? ? F5 ? ??? ""?? ?? ?? ??"" ???? ??? ?? ??? (processing.php ????? ?? ?? ? terminal.php ? ?????) / Manual Override(???) ? Apply ? ??? ???? F5 ?? ??? / ?? ???: terminal.php + terminal status.inc 2?? ?? (processing.php ? ?? ?? ????? ?? ?? ???).";ko;;
L022;accepted:ko;e013b63c02f214225faf3aa1df25fef70a888616fe98bd7dc4dca34a35228e85;1;JSKIM-90/WEB_BUILDER_TOOLKIT;RNBT_architecture/DesignComponentSystem/Components/3D_Components/VCB/CLAUDE.md;https://github.com/JSKIM-90/WEB_BUILDER_TOOLKIT/blob/eb479c5d189e74f51fc9225058d0ef9786a41488/RNBT_architecture/DesignComponentSystem/Components/3D_Components/VCB/CLAUDE.md;33;38;132;Hangul;ko;9,99997E+15;9,99965E+15;ko;10;10;VERDADERO;accepted;ko;"?? ??? translation? ???? ?? ??? ? 1.3 × 0.9 × 0.6 ?? ??? LithiumionBattery·Earthquake? ""scale 1000 ??? ??""?? ?? MCCB( × 0.09 × 0.20 ?? ?? ?? ???)??? ? ?? ?? ?? ??. preview? ??? ??? ??? ?? ?? ??( )?? ? ??? ????.";ko;;
L023;accepted:ko;8a757ff5b1d76f28aad198b56316cfc16c81aa38b40820bc5329b051ba70f7dd;1;yuminc03/FocusZone-AR;CLAUDE.md;https://github.com/yuminc03/FocusZone-AR/blob/9bf26638459d78ddb6a8fb686b3a2a9990abc911/CLAUDE.md;3;37;117;Hangul;ko;1,00007E+15;1,00006E+14;ko;10;10;VERDADERO;accepted;ko;Target OS Awareness: ?? ?? ? ????? Deployment Target(iOS ??)? ????, ?? ???? ?? ??? API?? ????. ?? API ?? ? ?? ?? ?? ??? ????, ?? ?? ??? ??? ?? ?? ??? ?? ????.;ko;;
L024;accepted:ko;c098de61e6c1072ce614fc12e97fd58f585a1e2e627df945b8c31602d0dff3d4;1;GG-O-BP/jeomjwabot;src-tauri/CLAUDE.md;https://github.com/GG-O-BP/jeomjwabot/blob/a1a6ac9727ba11bb6f8fe17fc33609b85939dd67/src-tauri/CLAUDE.md;32;33;99;Hangul;ko;9,99558E+15;9,99457E+13;ko;10;10;VERDADERO;accepted;ko;Linux / Windows : Claude Code CLI( )? ? spawn(headless). ?? ??? . ??? PC ? ??·?? ?? ?? — ???? ?? API ?? ?? ???. ?? . Rust ??? ?? ?? — ? feature ? ??.;ko;;
L025;accepted:ko;12eb6fbd0c5742cd9a2c469b6ac26aa98b4d9f690db2d566460e52d3434419c8;1;brandonwie/2ball-3pt-verify;CLAUDE.md;https://github.com/brandonwie/2ball-3pt-verify/blob/b1389ef1bfd841042cb3e1549190b90a24e3240e/CLAUDE.md;157;35;101;Hangul;ko;1,00007E+16;1,00006E+16;ko;10;10;VERDADERO;accepted;ko;"KO. ???? ?? + ???? ?? ?? ?? ??? ?????, ??? ???? 3? ??? ?? ?? / ???? ???? ??? ?? ???? ?????? ? ????: ""? ?? ?? ???? ??????""? ?? ??? ???? ????, ??? ???.";ko;;
L026;accepted:zh;f110a02faf08ed8ce7f9e20359c4fb88f26649d8e54942f9e534ce8726cea790;1;TyL1618/TaiexRider;CLAUDE.md;https://github.com/TyL1618/TaiexRider/blob/e730735dcee609163cfd3b16e0bbed30a46ad86a/CLAUDE.md;1;25;110;Han;zh;9,78448E+15;9,58891E+15;zh;10;10;VERDADERO;accepted;zh;???????????? 2D ?????????????PWA ? TWA ?? Google Play?? > DEVDOC.md ??????????????? History.md ? > ???????? ????Claude ?? memory ????? ??? repo ?? ?? ?;zh;;
L027;accepted:zh;aa31464f340fd5fbcdb66dcfc1e9e36a619310fe6053ebf240414a27eff97227;1;turingism/worldcup-predictor;CLAUDE.md;https://github.com/turingism/worldcup-predictor/blob/2d7ba4306dab0bfc1dee4fd7fae17875a693946b/CLAUDE.md;140;21;96;Han;zh;9,56117E+15;9,36929E+15;zh;10;10;VERDADERO;accepted;zh;"?? ????????? ???""?1?"" ???——????????? ?2 ???>2 ????????=2 ???????<2 ?????????????? ??(?0) ??????????????????????????????""???????""????";zh;;
L028;accepted:zh;2b94de20f95d273f010eee233071d7f73aa2f3d352f01b7177ca67ab63b38e77;1;jasper-note/jasper;CLAUDE.md;https://github.com/jasper-note/jasper/blob/a2184a24f4d7d29a7e71a510c16d0f1bbbd37c54/CLAUDE.md;48;59;238;Han;zh;9,6054E+15;9,22829E+15;zh;10;10;VERDADERO;accepted;zh;????? + ??????spec §9.2 ?????2026-07-04? ?? ?? —— ???? ??? ????? ? ?? NoteView ?? + ?? ??????????????????? App ???? ????? ??? sidebar ????? chat??ChatWidget ?? composer ?????? N ??chip?? ×??????????????????? ??? + ??? —— ????? + localStorage ? ?? + ???????? ????? ? ???????????????????????——????????? ????????????? / / ????+??+???? ??? ? ? ai-chat 0.2.0???????? + ????????;zh;;
L029;accepted:zh;6db29c1f8f2bb349a41543e6ad17be76488995294e87f69baf8c60394a0626bb;1;Hugin-Z/agentic-kb-lite;CLAUDE.md;https://github.com/Hugin-Z/agentic-kb-lite/blob/ab8f2a4f512bffb25790b10aae3fc61a86f32d2d/CLAUDE.md;48;26;115;Han;zh;9,88158E+15;9,84133E+15;zh;10;10;VERDADERO;accepted;zh;???? :?? 4 ??????? AI ????(Claude Code / Codex ?)??????,?????? (????? ripgrep)??? ????? ripgrep ???????, ??? agent loop ??? ??????? LLM ???? ,?? ??????;zh;;
L030;accepted:zh;da3ae77e52be3cbce462943a077f1ff716d3ec37df78226f7c6b9afb17336990;1;ChronoAIProject/fkst-packages;CLAUDE.md;https://github.com/ChronoAIProject/fkst-packages/blob/6d8a4c3e1069554c6c788324dac455b0dfa0ec36/CLAUDE.md;322;82;405;mixed;zh;9,49526E+15;9,28319E+14;zh;10;10;VERDADERO;accepted;zh;???? ? ???? CI ????????? ?own package runtime view?????? ??????? / ????????? committed dev source ????????? root ???? ?own ?? ??? conformance / run / supervise ?????? ???? external package roots?flat ???? conformance + test?composed ????? conformance???? test????????????? composed ?? ???? composed ??????????? ????? conformance? ????????test ??? ?? + ???? ?? router ?? test ????? source ref??? ports ? / ?????? ?? / ?? ?????adapter-contract tests ??? fake exec ??? command spelling????? CLI?? ??? / ?? mock fail-closed?;zh;;
L031;accepted:de;deb8e3251741f6634db814e7a3ba70f91c65849480defe711089e5bf66426ac9;1;SchubertChris/CS-OP;apps/vaultbox/CLAUDE.md;https://github.com/SchubertChris/CS-OP/blob/9dca80b17fb0f83847da6efdb556c4835fda0cca/apps/vaultbox/CLAUDE.md;288;36;239;Latin/other;de;9,7362E+15;9,66977E+14;de;10;10;VERDADERO;accepted;de;"""Candlescope"" ist technisch korrekt (Candlestick-Charts + ), aber erklärungsbedürftig. Für Finance-Apps entscheiden Nutzer in Sekunden — der Name muss sofort Vertrauen und Klarheit kommunizieren. Ein Rebrand vor dem ersten Public Release kostet fast nichts; nach 10.000 Nutzern ist er schmerzhaft.";de;;
L032;accepted:de;eda34840945c782e42a241f9eeecb636cf24e240ac9632282bc89d2a39f17644;1;carstenlucke/studplus_mhb_po;CLAUDE.md;https://github.com/carstenlucke/studplus_mhb_po/blob/44bec070cea6514e8411e0d459f8b32d4f11977c/CLAUDE.md;57;21;168;Latin/other;de;9,9017E+15;9,88592E+15;de;10;10;VERDADERO;accepted;de;"Wahlpflichtmodule ohne Fachrichtungs-Checkboxen: Bei „Verwendbarkeit"" steht nur „Wahlpflichtmodul …"" ohne Fachrichtungs-Ankreuzung ? , Fachrichtungen aus dem Verlaufsplan (i.d.R. für beide wählbar) setzen.";de;;
L033;accepted:de;dfacd00982c94fcffcf91062f32033c2d98f28e061c8fe1b1c24ba300253f67e;1;easywebb911/Aktien-Update;CLAUDE.md;https://github.com/easywebb911/Aktien-Update/blob/f5e991c942c6f5d6a89b90ffbfe819694947c024/CLAUDE.md;242;25;136;Latin/other;de;9,96821E+15;9,95892E+15;de;10;10;VERDADERO;accepted;de;Wichtig: und werden beide aus (raw, pre-smoothing) gelesen. in ist smoothed und wird nur fürs Frontend (Kachel) und die Alert-Anzeige genutzt — nicht für den Exit-Vergleich.;de;;
L034;accepted:de;04fc9c0170f16cd32c8a7d10b2d388db02a5b4f919967898b3494a1d15b22a65;1;timooschwarz/DocarioSaaS;CLAUDE.md;https://github.com/timooschwarz/DocarioSaaS/blob/a45455bc46762598cc5e40a3997236e7fdf6195c/CLAUDE.md;456;25;171;Latin/other;de;9,93289E+15;9,91918E+15;de;10;10;VERDADERO;accepted;de;"Rechtsform: Timo ist Einzelunternehmer — NICHT ""docario UG (haftungsbeschränkt)"". In allen Rechtstexten steht ""Timo Schwarz"" als Anbieter. Adress-Platzhalter / müssen noch mit der echten Adresse befüllt werden.";de;;
L035;accepted:de;7ea9d9ef930f0e63a6fc1a2e2e9266b01ff8a64a35e907bee574156451038ec8;1;ThorstenDittmar/klartext;agents/qa/claude.md;https://github.com/ThorstenDittmar/klartext/blob/e26b952cd69d79e1a7b432d9f75031566e8fb37d/agents/qa/claude.md;46;29;189;Latin/other;de;9,56355E+15;9,44926E+15;de;10;1E+16;VERDADERO;accepted;de;"qa-review findet echte Bugs. H01-422: 5 weitere Tests entdeckt die echte Vertragslücken abdeckten (Happy Path fehlte; Work-Typ nicht in Contract-Klasse; parent id-Cases). qa-review ist kein reiner Coverage-Checker — es ist QA-Urteilsvermögen.";de;;
L036;accepted:ru;d65ea677fcb9971257f76bd3b763018ae18d5b7b24a42ff81a7c71987ee63a96;1;Armankazarovich/website;CLAUDE.md;https://github.com/Armankazarovich/website/blob/dd57e565d254030231969314bb7c1dbab1098b5c/CLAUDE.md;915;27;157;Cyrillic;ru;9,77833E+15;9,68249E+15;ru;10;10;VERDADERO;accepted;ru;«???? ?????? — ???? ???????» vs «???? ?????? — ???? ??????» — ??? retroactive ?????????????? (????? ???? ?????????? ? ?????? ?????????) batch push ???????? ????? ??????, ?? ??????? ??????? ???????.;ru;;
L037;accepted:ru;b621cf716f79e41a240c3082bf5ce65ad7a458e70196c793c1f2e6308b41c5b2;1;ioncreature/direct-port;CLAUDE.md;https://github.com/ioncreature/direct-port/blob/ba3115c27a67fc8eda9f0855ac62e28ffe8784ab/CLAUDE.md;64;23;159;Cyrillic;ru;9,41298E+14;9,20215E+14;ru;1E+16;1E+16;VERDADERO;accepted;ru;????????? (?????? SUPER ADMIN): ????? ??????????? ?????????????? (confidenceThreshold + lowConfidenceAction), ????? ??????? Claude ??? 4 AI-?????????. ?? ????? ????? ? ????????? ? ???????? 403 ?? ?;ru;;
L038;accepted:ru;0e2a53de75a1ad031b521a819f6d76d63592303dc038c1b2c3629b576f735af8;1;arterorx/crypto-event-bot;CLAUDE.md;https://github.com/arterorx/crypto-event-bot/blob/c9342b36bfbf5cca480b6f8eeb5e1fa7cb31c96f/CLAUDE.md;389;212;1139;Cyrillic;ru;9,47071E+15;9,31814E+15;ru;10;10;VERDADERO;accepted;ru;"3 ??? 2026 (????) (v1.16 Phase B — HOTFIX): NameError REVERSAL EVENT TYPES ? event analyzer.py. ??????????? regression ?? v1.15 — ?????? reversal-??????? ?????? ? ?? ?????? 1141 ? (Vision API check). ??? ??????? 2.5 ??? (? v1.15 ?? ??????????? ????) ?????? ???: (1) ? v1.15 ?? v1.16 B3 ? bear-?????? ?? ???? long-events; (2) ????????? ????????? ?????? ? B3 ? ?????? ???????? ???????????? ???? ? ???? 3 ??? ( B5 SHORT). ?????? ?? 3 ???????: ? ???????? ????????, ? Telegram-????? ????, ? EventAnalyzer ???? ? exception, ? event ??????? ????? except handler ??? ???????? decision, ? PerpTrader ?????? ?? ??????? ? 0 perp-??????. ???? : ???????? ? + 3 ????????????? ????? ? test event analyzer prompt.py::TestSymbolImports (re-import ??? NameError, ???????? ??????? ???? 4 ????? ? ?????????, inspect.getsource + namespace check). ????????? ?????????? ?????? : ??? ??????? 32.5% margin × leverage 2× ? confidence 0.65 ?? 6 ????? ????? ??????? floating PnL = ?$3.89 (?0.39%) ?? 3-? ???????? ???????? — ??? 3 ???? ????? ?????? short (fake breakouts ?? ?????? wick'?? 0.18-0.34%). Expected value ????? 72h ? ?$13 ??????. ???????? ????? ? ?????????? Opus : ?????? ????? 2-3 skip ?? 3 (?????? ???????, BTC bullish 4h) ? 0 ??????. ?? ???? ??? ?? ????? ?????, ?? ????? 3 ??????? ?????????? ? ??. ?????? : 423 ? 426 . Lesson learned : ??????????? ??? ??? ? v1.10 (NameError 'target' ? funding-??????). ???????? ???? ??? ???? ????????????? ???? ?? ?? ???????? (TestBuildUserPrompt), ?? ?? ???????? , ?? . ????? ????? ?????? ????????? ?????? ??? ????????? ????? inspect+namespace. ????? : (+1 ??????), (+56 ?????, +3 ?????)";ru;;
L039;accepted:ru;33718c7e86f333f14514f79775196f5000cce1c52ce6428df2aeaa51c64b0e09;1;dina-arslanova/upakovali-bot_FINAL;CLAUDE.md;https://github.com/dina-arslanova/upakovali-bot_FINAL/blob/2a2ced09650c51487cb27affee84f2a13612884b/CLAUDE.md;112;28;191;Cyrillic;ru;9,79429E+15;9,7403E+15;ru;10;10;VERDADERO;accepted;ru;Model: , , ??????? ???????: ????????? 10 ????????? ?? ???????????? (in-memory defaultdict). ????????? ??????: ???? ?????????? «????????? ??????», ??????, ???? ??????, ???????, ?????? ?????. ??? ??????: ?????????? ????? ? ????????? ?????????.;ru;;
